Data,Comerciant,Produs,Pret
2019-09-16,eMAG,"Casti Apple AirPods 2, White",799
2019-09-16,eMAG,"Telefon mobil Samsung Galaxy Note 10 Plus, Dual SIM, 256GB, 12GB RAM, 4G, Aura Glow",5.199
2019-09-16,eMAG,Joc Assassins Creed Odyssey pentru PlayStation 4,131
2019-09-16,eMAG,"Trotineta electrica Xiaomi Mijia M365, viteza 25 km/h, autonomie 30 km, roti 8.5"", timp de incarcare 5h, doua anvelope rezerva, Negru",1.859
2019-09-17,eMAG,"Casti Apple AirPods 2, White",799
2019-09-17,eMAG,"Telefon mobil Samsung Galaxy Note 10 Plus, Dual SIM, 256GB, 12GB RAM, 4G, Aura Glow",5.199
2019-09-17,eMAG,Joc Assassins Creed Odyssey pentru PlayStation 4,131
2019-09-17,eMAG,"Trotineta electrica Xiaomi Mijia M365, viteza 25 km/h, autonomie 30 km, roti 8.5"", timp de incarcare 5h, doua anvelope rezerva, Negru",1.779
